time,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR,ACCESS-ESM1-5,CESM2-WACCM,ACCESS-CM2
2137.0,213599190000.0,156293020000.0,33380233000.0,141303230000.0,167982580000.0,93367484000.0
2138.0,207987200000.0,154300700000.0,31460995000.0,137404285000.0,162406420000.0,86947930000.0
2139.0,205110080000.0,152238470000.0,29707039000.0,133775580000.0,155353070000.0,83132080000.0
2140.0,199068550000.0,149179610000.0,28578777000.0,128641930000.0,149436090000.0,77451970000.0
2141.0,193687960000.0,145022520000.0,27252795000.0,125021010000.0,147501830000.0,73551070000.0
2142.0,187504180000.0,141708410000.0,26184923000.0,120671300000.0,142512600000.0,69746610000.0
2143.0,180701270000.0,138738990000.0,24981811000.0,115715130000.0,140828230000.0,66752537000.0
2144.0,175922510000.0,138888460000.0,23942916000.0,110670725000.0,136929165000.0,64494264000.0
2145.0,170707100000.0,135921480000.0,23499665000.0,106438800000.0,131737780000.0,62402320000.0
2146.0,164323210000.0,134676685000.0,23087650000.0,103546765000.0,126249370000.0,59584315000.0
2147.0,160001210000.0,132420840000.0,22235089000.0,98795120000.0,119443140000.0,56490242000.0
2148.0,154821100000.0,131761600000.0,21412936000.0,96003070000.0,115823790000.0,54486503000.0
2149.0,151751980000.0,131815645000.0,20682211000.0,91804520000.0,113251750000.0,51333190000.0
2150.0,147130930000.0,130500755000.0,20060682000.0,89781305000.0,109515470000.0,49732547000.0
2151.0,143993080000.0,129266900000.0,19467730000.0,86073230000.0,104371130000.0,47504270000.0
2152.0,139346200000.0,129510380000.0,19082672000.0,82526330000.0,103436240000.0,47352496000.0
2153.0,133824340000.0,127712200000.0,18928378000.0,79167005000.0,98923810000.0,44860450000.0
2154.0,129230094000.0,124121770000.0,18947752000.0,76664940000.0,94446070000.0,42882440000.0
2155.0,125568070000.0,121617690000.0,18552773000.0,73578280000.0,90384990000.0,41016390000.0
2156.0,119518900000.0,119852690000.0,18369520000.0,70467320000.0,87632110000.0,39736150000.0
2157.0,115996660000.0,120695730000.0,17686256000.0,68137796000.0,84303860000.0,39389920000.0
2158.0,112713830000.0,117152694000.0,17074707000.0,65697540000.0,82535960000.0,38167360000.0
2159.0,109880710000.0,115995530000.0,16484208000.0,63411814000.0,79592290000.0,36563227000.0
2160.0,106381490000.0,113712510000.0,16282786000.0,61705675000.0,75437850000.0,35391615000.0
2161.0,104209146000.0,112325680000.0,15714849000.0,59602220000.0,74699930000.0,35624178000.0
2162.0,101506425000.0,117675570000.0,15339150000.0,57697178000.0,71770644000.0,33988168000.0
2163.0,97280600000.0,116673680000.0,14852856000.0,55396053000.0,70247900000.0,33019107000.0
2164.0,94286270000.0,115950720000.0,14391739000.0,53406147000.0,70463030000.0,31853679000.0
2165.0,92435080000.0,115335740000.0,13935757000.0,51471876000.0,69495054000.0,31030788000.0
2166.0,90873184000.0,114071340000.0,13568699000.0,50647700000.0,69736450000.0,31280306000.0
2167.0,87899170000.0,116738080000.0,13271020000.0,48840167000.0,68144870000.0,30485176000.0
2168.0,85547100000.0,115067450000.0,12893994000.0,46967796000.0,67478774000.0,29844578000.0
2169.0,83142450000.0,115953980000.0,12555323000.0,44881228000.0,66581877000.0,29139171000.0
2170.0,79926300000.0,115135370000.0,12474179000.0,43233050000.0,65228325000.0,28003092000.0
2171.0,78397145000.0,113119306000.0,12562177000.0,41717390000.0,64229210000.0,27072102000.0
2172.0,76491400000.0,112855620000.0,12467841000.0,40699822000.0,63496925000.0,26595934000.0
2173.0,73791650000.0,111090790000.0,12002198000.0,39760040000.0,62265990000.0,26877325000.0
2174.0,71666885000.0,110452834000.0,11688527000.0,38828335000.0,61896065000.0,25734052000.0
2175.0,70065510000.0,108411720000.0,11599352000.0,37670630000.0,62367850000.0,25108574000.0
2176.0,68397646000.0,109003820000.0,11705718000.0,36894982000.0,60729344000.0,24176818000.0
2177.0,68521538000.0,107795186000.0,11444677000.0,36135965000.0,59838116000.0,23369806000.0
2178.0,67353660000.0,108364734000.0,11235503000.0,35498197000.0,58290520000.0,22233913000.0
2179.0,66613084000.0,108621370000.0,11294117000.0,34348988000.0,58050990000.0,21356536000.0
2180.0,65388876000.0,107629900000.0,11481116000.0,33659275000.0,56571330000.0,20422054000.0
2181.0,64191803000.0,107410190000.0,11145078000.0,33167323000.0,55838343000.0,20454533000.0
2182.0,62958910000.0,112661720000.0,10944233000.0,32569825000.0,55747060000.0,19675597000.0
2183.0,61896696000.0,110747660000.0,11163139000.0,31711120000.0,55388705000.0,19431580000.0
2184.0,60056355000.0,108853350000.0,11045978000.0,30949906000.0,55255490000.0,19247497000.0
2185.0,59766505000.0,107530150000.0,10848370000.0,30975736000.0,54830690000.0,18849440000.0
2186.0,59200168000.0,107975510000.0,10567284000.0,30635223000.0,54247830000.0,17985511000.0
2187.0,57439810000.0,106468290000.0,10239719000.0,30129947000.0,53691437000.0,17306337000.0
2188.0,56160130000.0,104690610000.0,9998054000.0,29474796000.0,52446650000.0,17181356000.0
2189.0,56181280000.0,102818685000.0,9608910000.0,29282451000.0,51952750000.0,16695478000.0
2190.0,54840947000.0,103880000000.0,9586247000.0,28870402000.0,52205257000.0,16256631000.0
2191.0,54844826000.0,104576180000.0,9427058000.0,28953324000.0,51172725000.0,15501168000.0
2192.0,54063604000.0,105277325000.0,9301337000.0,29314126000.0,50236810000.0,15191021000.0
2193.0,53670940000.0,103399330000.0,8742728000.0,28578562000.0,50663117000.0,14706738000.0
2194.0,52872753000.0,102628290000.0,7748455000.0,28051341000.0,49627103000.0,14042550000.0
2195.0,52377383000.0,104249780000.0,6891246000.0,27585354000.0,49160167000.0,13412512000.0
2196.0,51286710000.0,102195460000.0,6159368700.0,27299953000.0,48108405000.0,13079424000.0
2197.0,50355098000.0,104475760000.0,5519047000.0,27088773000.0,46445466000.0,12732943000.0
2198.0,50581400000.0,105195630000.0,4946779600.0,26581508000.0,44401310000.0,12599484000.0
2199.0,49568297000.0,103276430000.0,4097844500.0,26536514000.0,44140843000.0,12537479000.0
2200.0,48944490000.0,101884130000.0,3216893000.0,26461252000.0,44146586000.0,12458221000.0
2201.0,47976923000.0,101313230000.0,2617814800.0,25972939000.0,44380430000.0,12368075000.0
2202.0,47795860000.0,101863270000.0,1873372400.0,25576399000.0,43141165000.0,12065500000.0
2203.0,46871687000.0,103040960000.0,1667230200.0,25031758000.0,43413705000.0,12063059000.0
2204.0,46793216000.0,102536540000.0,1419541100.0,24482116000.0,41895207000.0,12497622000.0
2205.0,46563164000.0,102572600000.0,1104063200.0,23850052000.0,41742533000.0,12480764000.0
2206.0,45796220000.0,102141920000.0,942722750.0,23745247000.0,42003706000.0,12345275000.0
2207.0,44497007000.0,101712920000.0,848527800.0,23225424000.0,40363690000.0,12644226000.0
2208.0,44938380000.0,100670580000.0,722239940.0,23218055000.0,39240147000.0,12489179000.0
2209.0,43688694000.0,104289740000.0,612245440.0,22688768000.0,38565683000.0,12455370000.0
2210.0,43688810000.0,103013980000.0,498046750.0,22225010000.0,38353790000.0,12409683000.0
2211.0,43835500000.0,100997220000.0,465813980.0,21802486000.0,37786292000.0,12322037000.0
2212.0,42201395000.0,103300596000.0,398246240.0,21760060000.0,37559472000.0,12243296000.0
2213.0,41363120000.0,105884210000.0,343468800.0,21549472000.0,36263285000.0,11785629000.0
2214.0,41205100000.0,111566950000.0,305444670.0,21577755000.0,35266208000.0,11490616000.0
2215.0,41645548000.0,115504720000.0,241698340.0,21475762000.0,35162020000.0,11532755000.0
2216.0,41268527000.0,114558255000.0,235952260.0,21354303000.0,34098557000.0,11698955000.0
2217.0,41125986000.0,112646595000.0,186992210.0,21129095000.0,34161830000.0,11578052000.0
2218.0,40879534000.0,111213000000.0,147372500.0,20793862000.0,33620679000.0,11560657000.0
2219.0,39665185000.0,109476740000.0,126683750.0,20466932000.0,33575516000.0,11395253000.0
2220.0,39155094000.0,108721725000.0,112172970.0,19822563000.0,33649949000.0,11042806000.0
2221.0,38614983000.0,109493620000.0,100785690.0,19937560000.0,32599818000.0,11084849000.0
2222.0,37168030000.0,108531400000.0,78827130.0,19933560000.0,31946725000.0,10999986000.0
2223.0,37126060000.0,111907420000.0,75629510.0,19919645000.0,31474213000.0,11029005000.0
2224.0,36892557000.0,114654660000.0,72357840.0,19747846000.0,31663809000.0,11027974000.0
2225.0,36997310000.0,117324505000.0,70886490.0,19958544000.0,31314203000.0,10990942000.0
