time,CSIRO-MK3-6-0,NORESM1-M,CESM1-CAM5,MPI-ESM-LR
2277.0,3071233200000.0,3247647000000.0,2036323800000.0,5523884000000.0
2278.0,3068427800000.0,3241499400000.0,2032211500000.0,5510453000000.0
2279.0,3046925000000.0,3231694000000.0,2037854800000.0,5507115000000.0
2280.0,3023154400000.0,3246004400000.0,2021123000000.0,5520513600000.0
2281.0,3009535500000.0,3258234700000.0,2015318100000.0,5510939500000.0
2282.0,3017996800000.0,3258065000000.0,2028443700000.0,5513680500000.0
2283.0,3022871600000.0,3257719000000.0,2030878500000.0,5485071000000.0
2284.0,3016545500000.0,3240126800000.0,2011162000000.0,5445699000000.0
2285.0,3017067700000.0,3235582600000.0,1996974700000.0,5428321000000.0
2286.0,3014333600000.0,3240610000000.0,1999818300000.0,5424215000000.0
2287.0,3008198600000.0,3227957300000.0,1996031000000.0,5407654000000.0
2288.0,3025860300000.0,3210714500000.0,1985173700000.0,5437530000000.0
2289.0,3002307200000.0,3192269000000.0,1965590200000.0,5457513500000.0
2290.0,2977724600000.0,3190014000000.0,1965154000000.0,5479638500000.0
2291.0,2971298000000.0,3190152800000.0,1967325600000.0,5483042000000.0
2292.0,2962698800000.0,3185786000000.0,1960085800000.0,5498225600000.0
2293.0,2968436000000.0,3177147300000.0,1942516300000.0,5511423500000.0
2294.0,2928129000000.0,3180026100000.0,1940661200000.0,5523881000000.0
2295.0,2904292600000.0,3199147700000.0,1941568700000.0,5535461000000.0
2296.0,2903736800000.0,3201086000000.0,1923018800000.0,5510465000000.0
2297.0,2897974400000.0,3174417600000.0,1905246100000.0,5538698000000.0
2298.0,2879207000000.0,3161838600000.0,1892998200000.0,5535171600000.0
2299.0,2860992000000.0,3171235400000.0,1873902000000.0,5514178600000.0
2300.0,2851979700000.0,3174907500000.0,1856977800000.0,5467987000000.0
