time,MPI-ESM1-2-HR,ACCESS-CM2,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR,NORESM2-MM,CANESM5,GFDL-ESM4,EC-EARTH3,EC-EARTH3-VEG,ACCESS-ESM1-5,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,MRI-ESM2-0,CESM2,TAIESM1,CESM2-WACCM,CAMS-CSM1-0
2072.0,24223536000000.0,22194678000000.0,19939683000000.0,23945976000000.0,22876480000000.0,23415317000000.0,22141410000000.0,23320330000000.0,17919620000000.0,18865529000000.0,23805383000000.0,23479833000000.0,24028578000000.0,22007650000000.0,22604161000000.0,20067903000000.0,15688741000000.0,21859622000000.0,24684456000000.0
2073.0,24133402000000.0,22017340000000.0,19646700000000.0,23854504000000.0,22830255000000.0,23288797000000.0,22087566000000.0,23247863000000.0,17653962000000.0,18600811000000.0,23697270000000.0,23397990000000.0,23974692000000.0,21837262000000.0,22492568000000.0,19692048000000.0,15392710000000.0,21560677000000.0,24615854000000.0
2074.0,24074740000000.0,21977857000000.0,19339281000000.0,23725448000000.0,22646800000000.0,23186440000000.0,21814896000000.0,23206709000000.0,17367041000000.0,18329200000000.0,23615802000000.0,23291190000000.0,23955778000000.0,21665117000000.0,22288865000000.0,19431873000000.0,15064755000000.0,21295226000000.0,24543431000000.0
2075.0,24035870000000.0,21839152000000.0,19080484000000.0,23682945000000.0,22546810000000.0,23073158000000.0,21666913000000.0,23089367000000.0,16979309000000.0,18043790000000.0,23477216000000.0,23147007000000.0,23896628000000.0,21463296000000.0,22245221000000.0,19123388000000.0,14679209000000.0,20957354000000.0,24525488000000.0
2076.0,23964011000000.0,21676473000000.0,18784850000000.0,23549945000000.0,22449510000000.0,22984857000000.0,21501061000000.0,22989756000000.0,16613245000000.0,17712910000000.0,23434370000000.0,23031607000000.0,23821302000000.0,21366443000000.0,22185960000000.0,18845228000000.0,14408503000000.0,20656173000000.0,24482318000000.0
2077.0,23856200000000.0,21492828000000.0,18555278000000.0,23422474000000.0,22385960000000.0,22916680000000.0,21364500000000.0,22925999000000.0,16224500000000.0,17367616000000.0,23408207000000.0,22928165000000.0,23773852000000.0,21084435000000.0,21903373000000.0,18620248000000.0,14009120000000.0,20425334000000.0,24453730000000.0
2078.0,23741482000000.0,21379265000000.0,18175951000000.0,23337302000000.0,22261975000000.0,22825597000000.0,21250435000000.0,22858179000000.0,15913007000000.0,16978357000000.0,23311522000000.0,22860213000000.0,23750328000000.0,20786472000000.0,21760026000000.0,18296267000000.0,13704501000000.0,20230349000000.0,24394227000000.0
2079.0,23644032000000.0,21203108000000.0,17841470000000.0,23236838000000.0,22112000000000.0,22688056000000.0,21054892000000.0,22719215000000.0,15594800000000.0,16620456000000.0,23268325000000.0,22745694000000.0,23695928000000.0,20633214000000.0,21618869000000.0,17996397000000.0,13356074000000.0,20011052000000.0,24372240000000.0
2080.0,23588793000000.0,21042630000000.0,17460341000000.0,23129703000000.0,22017510000000.0,22571108000000.0,20924437000000.0,22601380000000.0,15196155000000.0,16261823000000.0,23153288000000.0,22709998000000.0,23645823000000.0,20454872000000.0,21437522000000.0,17718527000000.0,13064324000000.0,19710040000000.0,24392839000000.0
2081.0,23482222000000.0,20898912000000.0,17230499000000.0,22961619000000.0,21924451000000.0,22489789000000.0,20732388000000.0,22488654000000.0,14866529000000.0,15865512000000.0,23115451000000.0,22618156000000.0,23557378000000.0,20201276000000.0,21130006000000.0,17374040000000.0,12708099000000.0,19408517000000.0,24385692000000.0
2082.0,23389400000000.0,20674580000000.0,16976246000000.0,22827690000000.0,21801296000000.0,22357907000000.0,20508888000000.0,22410863000000.0,14530816000000.0,15502090000000.0,23067581000000.0,22557435000000.0,23482224000000.0,19903755000000.0,20905298000000.0,17138008000000.0,12367476000000.0,18932140000000.0,24296170000000.0
2083.0,23303987000000.0,20471056000000.0,16693791000000.0,22695343000000.0,21587256000000.0,22235700000000.0,20334724000000.0,22339572000000.0,14200606000000.0,15255065000000.0,22914766000000.0,22395870000000.0,23390010000000.0,19674188000000.0,20832246000000.0,16795712000000.0,12054061000000.0,18584676000000.0,24178288000000.0
2084.0,23209567000000.0,20329884000000.0,16380783000000.0,22511796000000.0,21469930000000.0,22144625000000.0,20119940000000.0,22182999000000.0,13806765000000.0,14815781000000.0,22774897000000.0,22269227000000.0,23354317000000.0,19450580000000.0,20592376000000.0,16517071000000.0,11725876000000.0,18239371000000.0,24161703000000.0
