time,ACCESS-CM2,CESM2-WACCM,ACCESS-ESM1-5,IPSL-CM6A-LR,CANESM5,MRI-ESM2-0
2189.0,1100955300000.0,2820217500000.0,2697278500000.0,2419070300000.0,279269300000.0,2661454700000.0
2190.0,1096613100000.0,2813822500000.0,2684176800000.0,2405652800000.0,277303950000.0,2674070400000.0
2191.0,1094347650000.0,2802611000000.0,2655027700000.0,2390003500000.0,276134400000.0,2681373700000.0
2192.0,1090974600000.0,2784226400000.0,2636415500000.0,2383363000000.0,273826220000.0,2684236900000.0
2193.0,1090377900000.0,2772641500000.0,2598041600000.0,2373142000000.0,272109450000.0,2682566700000.0
2194.0,1085711000000.0,2772472400000.0,2577433600000.0,2358344000000.0,269871040000.0,2695770000000.0
2195.0,1076933560000.0,2750114200000.0,2574690000000.0,2351991600000.0,267512710000.0,2705337600000.0
2196.0,1070452640000.0,2732050000000.0,2566718200000.0,2345921000000.0,265719640000.0,2706576000000.0
2197.0,1060268740000.0,2733280000000.0,2555176600000.0,2336538000000.0,263536620000.0,2717529400000.0
2198.0,1050508400000.0,2726502600000.0,2537795000000.0,2318385500000.0,261480170000.0,2723449400000.0
2199.0,1047954060000.0,2722567600000.0,2508835500000.0,2308368200000.0,258224320000.0,2729222000000.0
2200.0,1044366030000.0,2719182700000.0,2491157800000.0,2302409000000.0,256346520000.0,2739468200000.0
2201.0,1040481600000.0,2706929400000.0,2481081500000.0,2297778400000.0,254278470000.0,2750038100000.0
2202.0,1035293200000.0,2696978000000.0,2455699000000.0,2292949500000.0,251940570000.0,2752780000000.0
2203.0,1031863700000.0,2693727000000.0,2443351200000.0,2289484000000.0,248616750000.0,2754856400000.0
2204.0,1024961100000.0,2683454600000.0,2432131700000.0,2283505700000.0,246451620000.0,2758263000000.0
2205.0,1023025150000.0,2672357300000.0,2414468700000.0,2274912600000.0,243971200000.0,2762481300000.0
2206.0,1019918550000.0,2662277600000.0,2404008300000.0,2261842700000.0,240856740000.0,2770088800000.0
2207.0,1016635400000.0,2657365500000.0,2390339600000.0,2254150000000.0,237820430000.0,2772786000000.0
2208.0,1014153300000.0,2647599300000.0,2377592900000.0,2244800200000.0,234718690000.0,2772588300000.0
2209.0,1012762800000.0,2637168000000.0,2360587000000.0,2238601800000.0,232071230000.0,2779282100000.0
2210.0,1013906900000.0,2614646300000.0,2347567700000.0,2232604400000.0,229554400000.0,2785692400000.0
2211.0,1012277440000.0,2612546000000.0,2336500200000.0,2226820200000.0,226904490000.0,2789002000000.0
2212.0,1010421000000.0,2601392800000.0,2326071000000.0,2221441800000.0,224305600000.0,2799987300000.0
2213.0,1008196000000.0,2584902400000.0,2311621000000.0,2221393800000.0,221337750000.0,2797718000000.0
2214.0,1008896600000.0,2583901800000.0,2303691000000.0,2215862300000.0,218844150000.0,2799295500000.0
2215.0,1005665800000.0,2576937400000.0,2289603200000.0,2212814000000.0,216043010000.0,2803335200000.0
2216.0,1009422570000.0,2563243000000.0,2278311600000.0,2200573600000.0,213248900000.0,2808413400000.0
2217.0,1009225430000.0,2552151000000.0,2270652000000.0,2197315800000.0,211052800000.0,2811584000000.0
2218.0,1009135600000.0,2539924200000.0,2256109000000.0,2197086700000.0,210010050000.0,2816535700000.0
2219.0,1007150900000.0,2535067000000.0,2240569000000.0,2192868000000.0,207449780000.0,2823894300000.0
2220.0,1005624360000.0,2532838700000.0,2236919800000.0,2190395200000.0,205727170000.0,2830428000000.0
2221.0,1005229830000.0,2524369600000.0,2231605000000.0,2189106300000.0,204328240000.0,2835239000000.0
2222.0,1004535300000.0,2509775000000.0,2226138600000.0,2186915100000.0,201872600000.0,2846550700000.0
2223.0,1002897740000.0,2507640100000.0,2219678400000.0,2187841500000.0,200515880000.0,2852783000000.0
2224.0,1004058500000.0,2499553500000.0,2217006300000.0,2181238500000.0,199058240000.0,2857678000000.0
2225.0,1003917900000.0,2497768300000.0,2205697200000.0,2176152800000.0,197501260000.0,2863218600000.0
2226.0,1005238500000.0,2491793500000.0,2198973700000.0,2174991600000.0,196119560000.0,2870252700000.0
2227.0,1006452600000.0,2486012000000.0,2190496100000.0,2166127100000.0,194644800000.0,2881642300000.0
2228.0,1004732300000.0,2481484700000.0,2180486700000.0,2165937000000.0,193012140000.0,2887717500000.0
2229.0,1004480950000.0,2475057000000.0,2175519000000.0,2163642100000.0,191614160000.0,2888679600000.0
2230.0,1003231640000.0,2458971000000.0,2181122600000.0,2156179100000.0,190429970000.0,2893426200000.0
2231.0,1001030100000.0,2434552000000.0,2179579600000.0,2146087900000.0,189112340000.0,2910738000000.0
2232.0,1000424730000.0,2432182300000.0,2176617000000.0,2146438300000.0,188136280000.0,2910553400000.0
2233.0,999723700000.0,2429822400000.0,2175029200000.0,2145701000000.0,188905770000.0,2916383700000.0
2234.0,997212400000.0,2428986000000.0,2179030200000.0,2141718400000.0,188169900000.0,2923055000000.0
2235.0,998521040000.0,2426699300000.0,2177279500000.0,2133345600000.0,186842350000.0,2934939300000.0
2236.0,995248440000.0,2427019000000.0,2176202300000.0,2124495000000.0,185481920000.0,2945117300000.0
2237.0,993176700000.0,2417087700000.0,2178970400000.0,2122134700000.0,184631530000.0,2952550200000.0
2238.0,993675640000.0,2411356700000.0,2179102700000.0,2119467900000.0,184085990000.0,2961458600000.0
2239.0,991828900000.0,2399640200000.0,2168716300000.0,2119103400000.0,184030150000.0,2972783700000.0
2240.0,989580300000.0,2393762400000.0,2164257800000.0,2111945400000.0,184080290000.0,2983440200000.0
2241.0,990053340000.0,2392111000000.0,2163991500000.0,2109366900000.0,183617180000.0,2989273000000.0
2242.0,990949540000.0,2378229400000.0,2149547100000.0,2111973500000.0,183919050000.0,2995951200000.0
2243.0,988421500000.0,2371861300000.0,2143958200000.0,2109090000000.0,183896180000.0,3005227700000.0
2244.0,987588130000.0,2372102300000.0,2134711000000.0,2103630000000.0,183406510000.0,3011482000000.0
2245.0,989985400000.0,2367447600000.0,2128151000000.0,2097063100000.0,183206670000.0,3019995600000.0
2246.0,990151050000.0,2362562000000.0,2112836200000.0,2098070700000.0,183736340000.0,3024159800000.0
2247.0,991260200000.0,2359848300000.0,2106340400000.0,2097385200000.0,183122620000.0,3037866200000.0
2248.0,992104940000.0,2358687600000.0,2086068400000.0,2097684700000.0,184224150000.0,3045181400000.0
2249.0,992329100000.0,2354974300000.0,2061420000000.0,2093527900000.0,184643960000.0,3049192000000.0
2250.0,991026300000.0,2357585500000.0,2052988700000.0,2088282900000.0,185513750000.0,3061795500000.0
2251.0,989754100000.0,2357564300000.0,2043604000000.0,2088020900000.0,186141210000.0,3063462200000.0
2252.0,990201100000.0,2364111800000.0,2032075400000.0,2091409600000.0,186174280000.0,3076832000000.0
2253.0,987824650000.0,2358716100000.0,2015110000000.0,2088722200000.0,186606030000.0,3087141700000.0
2254.0,985914150000.0,2355406600000.0,2013208000000.0,2082035600000.0,185926930000.0,3098987200000.0
2255.0,986039700000.0,2353342200000.0,2010314700000.0,2078676200000.0,185525340000.0,3112486600000.0
2256.0,986158400000.0,2350860700000.0,2013146300000.0,2072770400000.0,185054820000.0,3109621600000.0
