time,MRI-ESM2-0,CANESM5,CESM2-WACCM,IPSL-CM6A-LR
2272.0,2616329500000.0,116159840000.0,3487063000000.0,2154861600000.0
2273.0,2628958800000.0,115418270000.0,3480330000000.0,2158297600000.0
2274.0,2639321400000.0,114364916000.0,3463872500000.0,2152588100000.0
2275.0,2650343000000.0,113215726000.0,3456574400000.0,2155837700000.0
2276.0,2662259200000.0,112763360000.0,3451014000000.0,2148663400000.0
2277.0,2670554000000.0,111999720000.0,3439390600000.0,2145157500000.0
2278.0,2679426300000.0,111251510000.0,3439488100000.0,2148467100000.0
2279.0,2686515000000.0,110471850000.0,3417251800000.0,2148087500000.0
2280.0,2690158400000.0,109653010000.0,3427318600000.0,2146546500000.0
2281.0,2697934700000.0,109266570000.0,3423419500000.0,2142437000000.0
2282.0,2705227000000.0,108493330000.0,3422815800000.0,2143083600000.0
2283.0,2710860000000.0,107430410000.0,3425420200000.0,2137300400000.0
2284.0,2719283400000.0,106548896000.0,3424412800000.0,2134026500000.0
2285.0,2718060000000.0,105775440000.0,3413753200000.0,2129309500000.0
2286.0,2725404000000.0,105167160000.0,3400634000000.0,2126941300000.0
2287.0,2733969200000.0,104668900000.0,3389565200000.0,2131082500000.0
2288.0,2738299000000.0,104049200000.0,3378589700000.0,2131505400000.0
2289.0,2747473900000.0,103568590000.0,3367444200000.0,2129995500000.0
2290.0,2754003000000.0,102459390000.0,3339657200000.0,2125245300000.0
2291.0,2757410200000.0,101505340000.0,3331045200000.0,2124325000000.0
2292.0,2765450600000.0,100853326000.0,3310220000000.0,2120454200000.0
2293.0,2769703700000.0,99895720000.0,3310279000000.0,2122647600000.0
2294.0,2774821500000.0,99209020000.0,3303295200000.0,2119933200000.0
2295.0,2780584200000.0,98543215000.0,3299717700000.0,2120491600000.0
2296.0,2791091500000.0,98025290000.0,3302450300000.0,2117878700000.0
2297.0,2800199400000.0,97365370000.0,3292311300000.0,2117174400000.0
2298.0,2804106400000.0,97029325000.0,3287300400000.0,2121921600000.0
2299.0,2804156200000.0,96937550000.0,3271293400000.0,2121765100000.0
2300.0,2805600600000.0,96143750000.0,3272300800000.0,2123346900000.0
