time,MRI-ESM2-0,ACCESS-ESM1-5,EC-EARTH3-VEG,GFDL-ESM4,FGOALS-F3-L,BCC-CSM2-MR,IPSL-CM6A-LR,CANESM5,NORESM2-MM,INM-CM4-8,INM-CM5-0,EC-EARTH3,CESM2,ACCESS-CM2,CAMS-CSM1-0,CESM2-WACCM,MPI-ESM1-2-HR
2056.0,1868138000000.0,1802652000000.0,2311775800000.0,2311086700000.0,2139671100000.0,2219601800000.0,2137277200000.0,1479522300000.0,2092253300000.0,2160643500000.0,1918316300000.0,1705963300000.0,1832634500000.0,1730133100000.0,2519488500000.0,2052178700000.0,2376073200000.0
2057.0,1834889500000.0,1782440000000.0,2309240700000.0,2290818000000.0,2114349600000.0,2191815300000.0,2087930600000.0,1458239800000.0,2060265500000.0,2149715700000.0,1902385400000.0,1676699100000.0,1791847400000.0,1698585000000.0,2507781000000.0,2013565300000.0,2354515800000.0
2058.0,1806671200000.0,1754076500000.0,2300047000000.0,2263082600000.0,2086024600000.0,2153235600000.0,2030904800000.0,1429090200000.0,2046018200000.0,2128478000000.0,1881593600000.0,1658890900000.0,1771253500000.0,1661705000000.0,2480272800000.0,1996224700000.0,2328344100000.0
2059.0,1781593300000.0,1734314300000.0,2286040600000.0,2231905800000.0,2063771200000.0,2114078000000.0,1988364000000.0,1400472300000.0,2019937900000.0,2089259500000.0,1856425200000.0,1631806200000.0,1741626500000.0,1627803700000.0,2460053000000.0,1967034500000.0,2276314600000.0
2060.0,1754978000000.0,1706397100000.0,2268274400000.0,2225779500000.0,2040933600000.0,2086630500000.0,1946025300000.0,1363547400000.0,1998064500000.0,2073388300000.0,1839420900000.0,1605840700000.0,1714272700000.0,1601974800000.0,2450855800000.0,1929760700000.0,2265838300000.0
2061.0,1733066200000.0,1673081700000.0,2266993000000.0,2203101200000.0,2007990500000.0,2056939400000.0,1898760000000.0,1341603600000.0,1974123600000.0,2054501700000.0,1814775500000.0,1590865300000.0,1688155700000.0,1578539800000.0,2425220000000.0,1916896700000.0,2248023000000.0
2062.0,1710275200000.0,1655726800000.0,2239089600000.0,2182870900000.0,1988635800000.0,2038454000000.0,1847036200000.0,1324709700000.0,1943268100000.0,2033419000000.0,1786440500000.0,1568117800000.0,1655682500000.0,1552118800000.0,2390371900000.0,1882104700000.0,2232780000000.0
2063.0,1679763000000.0,1627568900000.0,2222267000000.0,2144809100000.0,1973748000000.0,2021399500000.0,1812301500000.0,1302371200000.0,1918346600000.0,2021582700000.0,1770439000000.0,1547511100000.0,1634599800000.0,1523183100000.0,2373083500000.0,1858403000000.0,2205127300000.0
2064.0,1661652400000.0,1607981200000.0,2203338400000.0,2113978200000.0,1958573000000.0,2002323800000.0,1770555200000.0,1278330300000.0,1901655900000.0,2004019000000.0,1754428300000.0,1529062500000.0,1608067700000.0,1499632100000.0,2356325600000.0,1848196900000.0,2211991800000.0
2065.0,1640496800000.0,1578101200000.0,2191713400000.0,2083116800000.0,1932577900000.0,1990340500000.0,1732633800000.0,1251454200000.0,1869236100000.0,1970754700000.0,1738154200000.0,1512650600000.0,1593736600000.0,1472753600000.0,2346909700000.0,1833736000000.0,2191692400000.0
2066.0,1614703000000.0,1554244600000.0,2192935600000.0,2065240000000.0,1911436700000.0,1959463600000.0,1700748000000.0,1237878800000.0,1850805600000.0,1952647000000.0,1723356700000.0,1490980400000.0,1565412200000.0,1447890500000.0,2322513300000.0,1821584700000.0,2184814400000.0
2067.0,1599472500000.0,1543241100000.0,2181726900000.0,2047069400000.0,1902017000000.0,1928672300000.0,1657948700000.0,1220062900000.0,1827357500000.0,1937790700000.0,1712453600000.0,1470333300000.0,1550558600000.0,1419754900000.0,2338903800000.0,1792722200000.0,2174736300000.0
2068.0,1590033800000.0,1527869100000.0,2156545600000.0,2037421000000.0,1868245200000.0,1892460500000.0,1624753300000.0,1195188600000.0,1809712500000.0,1910598500000.0,1696016900000.0,1451064400000.0,1532367200000.0,1399542300000.0,2314280400000.0,1784312200000.0,2147842800000.0
2069.0,1576420400000.0,1504849700000.0,2137995500000.0,2021866700000.0,1853148000000.0,1858797600000.0,1594547200000.0,1180201600000.0,1775635800000.0,1908663600000.0,1685127200000.0,1424932600000.0,1517936200000.0,1372082000000.0,2305006800000.0,1773714400000.0,2132061800000.0
2070.0,1564497000000.0,1482462000000.0,2101521200000.0,2008622200000.0,1838224400000.0,1842428000000.0,1566293900000.0,1167090900000.0,1741928700000.0,1880132000000.0,1668552900000.0,1405585000000.0,1501153200000.0,1343700100000.0,2311499500000.0,1750936300000.0,2128109900000.0
2071.0,1545234800000.0,1451505200000.0,2077719300000.0,1996139700000.0,1825420100000.0,1829167000000.0,1538169200000.0,1157622500000.0,1726686200000.0,1862521000000.0,1657250100000.0,1387372900000.0,1488075200000.0,1329559800000.0,2296849600000.0,1721787900000.0,2109830600000.0
2072.0,1536745300000.0,1431222900000.0,2069728000000.0,1975408500000.0,1806381100000.0,1816076400000.0,1508108700000.0,1135561000000.0,1707326400000.0,1840370700000.0,1657682800000.0,1366739500000.0,1472957600000.0,1307349200000.0,2302060800000.0,1691128700000.0,2101183900000.0
2073.0,1525014100000.0,1414739100000.0,2058624200000.0,1944686300000.0,1786379900000.0,1809730000000.0,1484709400000.0,1117084800000.0,1679901300000.0,1827956200000.0,1654218400000.0,1344845900000.0,1454638200000.0,1284541000000.0,2278979300000.0,1678695300000.0,2096135300000.0
2074.0,1511628100000.0,1398251800000.0,2038645700000.0,1928741800000.0,1761754200000.0,1789341700000.0,1455913700000.0,1096687600000.0,1656828200000.0,1816782400000.0,1637733600000.0,1328536700000.0,1433051300000.0,1265737400000.0,2259367800000.0,1652898700000.0,2077320700000.0
2075.0,1495399000000.0,1385645900000.0,2020258700000.0,1913846100000.0,1764480100000.0,1777876500000.0,1430383400000.0,1079410800000.0,1626031300000.0,1802611500000.0,1622647500000.0,1322654900000.0,1419328500000.0,1247361400000.0,2236456400000.0,1629407200000.0,2085953500000.0
2076.0,1477417000000.0,1361383000000.0,2007969600000.0,1894917100000.0,1758958000000.0,1748828200000.0,1415621100000.0,1067314100000.0,1609860100000.0,1786587600000.0,1611346700000.0,1310798100000.0,1416482400000.0,1235789400000.0,2217646800000.0,1619394000000.0,2069464700000.0
2077.0,1471207400000.0,1343432700000.0,2000340100000.0,1883379100000.0,1763115700000.0,1735964800000.0,1394655000000.0,1056404400000.0,1599068600000.0,1770404700000.0,1607223300000.0,1296919000000.0,1403049600000.0,1222321600000.0,2201692700000.0,1606238100000.0,2054512400000.0
2078.0,1453789700000.0,1326777800000.0,1988969500000.0,1875733600000.0,1761147000000.0,1711805800000.0,1372964000000.0,1041720500000.0,1583324300000.0,1755110400000.0,1589832800000.0,1282206900000.0,1392275400000.0,1206574300000.0,2184466700000.0,1593389200000.0,2035247000000.0
2079.0,1447716700000.0,1312820600000.0,1971016400000.0,1868902800000.0,1753927900000.0,1694774300000.0,1356397300000.0,1028408500000.0,1568849500000.0,1737454300000.0,1572725300000.0,1271709300000.0,1374315600000.0,1195319200000.0,2154516300000.0,1584555000000.0,2016135500000.0
2080.0,1433273900000.0,1294769600000.0,1942480500000.0,1864846700000.0,1746414700000.0,1685616600000.0,1335543600000.0,1006051800000.0,1553307800000.0,1716668000000.0,1556228600000.0,1264496800000.0,1362321300000.0,1182235400000.0,2145363400000.0,1574517900000.0,2004939200000.0
2081.0,1429385800000.0,1279563400000.0,1929360800000.0,1865218000000.0,1740292600000.0,1683417500000.0,1321507900000.0,997554700000.0,1540178800000.0,1701677900000.0,1541689300000.0,1247976000000.0,1355841900000.0,1160787700000.0,2128557500000.0,1558328500000.0,1988042600000.0
