time,NORESM1-M,MPI-ESM-LR,GFDL-ESM2G,GFDL-CM3,CCSM4,CANESM2,GISS-E2-R,CNRM-CM5,CESM1-CAM5,IPSL-CM5A-LR,CSIRO-MK3-6-0
2087.0,4202956800000.0,4950679600000.0,5627378700000.0,3700478400000.0,5056577000000.0,3982579200000.0,6039677000000.0,2879219600000.0,1934039000000.0,2481395300000.0,5149897500000.0
2088.0,4162781400000.0,4911140400000.0,5583709700000.0,3635646800000.0,5018381000000.0,3916756400000.0,6006241000000.0,2785500700000.0,1866454900000.0,2448625800000.0,5124427000000.0
2089.0,4102227200000.0,4874324000000.0,5557203000000.0,3575496000000.0,4981034000000.0,3865373000000.0,5981056500000.0,2719638400000.0,1809063600000.0,2402357300000.0,5088410000000.0
2090.0,4048020800000.0,4836594500000.0,5511501600000.0,3532063200000.0,4929175400000.0,3798558600000.0,5953943500000.0,2635645000000.0,1729490000000.0,2369401400000.0,5039680000000.0
2091.0,3981110700000.0,4813935300000.0,5470878700000.0,3487945500000.0,4884461000000.0,3741884000000.0,5941757500000.0,2575681500000.0,1665222300000.0,2340455200000.0,5006668300000.0
2092.0,3915456700000.0,4774504000000.0,5425359500000.0,3430952700000.0,4844768000000.0,3694723900000.0,5899804500000.0,2508788300000.0,1592830900000.0,2304921600000.0,4970328400000.0
2093.0,3845481300000.0,4728388300000.0,5394847500000.0,3384174700000.0,4806666600000.0,3656019000000.0,5882337000000.0,2432346000000.0,1519553900000.0,2250141900000.0,4934970000000.0
2094.0,3770253800000.0,4689763500000.0,5358174000000.0,3338956700000.0,4765930000000.0,3622541200000.0,5859626000000.0,2382828100000.0,1443259900000.0,2213230000000.0,4893023700000.0
2095.0,3715188700000.0,4665306500000.0,5337556500000.0,3272564000000.0,4725253600000.0,3576729000000.0,5835995500000.0,2343457300000.0,1382189500000.0,2178649800000.0,4866915700000.0
2096.0,3664158400000.0,4646601000000.0,5313220000000.0,3221255000000.0,4690043000000.0,3527463100000.0,5794169400000.0,2294443100000.0,1327295800000.0,2132837400000.0,4831719700000.0
2097.0,3597581400000.0,4608701000000.0,5289128000000.0,3169568700000.0,4647830400000.0,3468226700000.0,5785516500000.0,2230472700000.0,1269309600000.0,2091924000000.0,4802415000000.0
2098.0,3517475500000.0,4574531000000.0,5251556400000.0,3113564800000.0,4617474700000.0,3419560700000.0,5765223400000.0,2163684900000.0,1229124800000.0,2043826100000.0,4770055600000.0
2099.0,3446775700000.0,4540683000000.0,5234937000000.0,3051081200000.0,4563480300000.0,3371722900000.0,5749207000000.0,2114360800000.0,1188881900000.0,1987328000000.0,4741850500000.0
2100.0,3387802800000.0,4515854000000.0,5205126000000.0,2986555700000.0,4517417000000.0,3321457000000.0,5719023700000.0,2063910600000.0,1151030800000.0,1923469700000.0,4720436400000.0
