time,FGOALS-F3-L,BCC-CSM2-MR,MPI-ESM1-2-HR,GFDL-ESM4,MRI-ESM2-0,EC-EARTH3-VEG,CAMS-CSM1-0,CESM2-WACCM,CESM2,EC-EARTH3,NORESM2-MM,INM-CM4-8,INM-CM5-0
2090.0,970917540000.0,662624700000.0,1313815300000.0,1244929600000.0,1090180400000.0,936376600000.0,1474212700000.0,1223561300000.0,1178554500000.0,506852600000.0,1275103200000.0,1530533800000.0,1248219900000.0
2091.0,954401400000.0,640925600000.0,1286894800000.0,1223451600000.0,1074025400000.0,900308500000.0,1456943800000.0,1212122000000.0,1161049800000.0,486990120000.0,1245346500000.0,1509212300000.0,1229047200000.0
2092.0,933835900000.0,617890200000.0,1260600200000.0,1212583500000.0,1061790200000.0,851618040000.0,1438501400000.0,1185327500000.0,1137990700000.0,464987300000.0,1212279200000.0,1492219200000.0,1206689500000.0
2093.0,914005360000.0,598441100000.0,1243402200000.0,1184870300000.0,1042496750000.0,822820900000.0,1412891100000.0,1160787300000.0,1119976600000.0,443234250000.0,1186501400000.0,1473252700000.0,1184705400000.0
2094.0,896908070000.0,577486400000.0,1216971800000.0,1161525500000.0,1025143100000.0,790648300000.0,1390399200000.0,1148442000000.0,1094862700000.0,426446450000.0,1176872800000.0,1442052600000.0,1154919300000.0
2095.0,879394750000.0,557069960000.0,1198354300000.0,1144851500000.0,1000832760000.0,760220350000.0,1367690200000.0,1129255100000.0,1074770940000.0,401434100000.0,1159050000000.0,1421280700000.0,1126827400000.0
2096.0,858954800000.0,538282430000.0,1174518800000.0,1128095000000.0,987208940000.0,726004330000.0,1346510400000.0,1114902200000.0,1052418640000.0,376793530000.0,1142279100000.0,1394408200000.0,1106464900000.0
2097.0,838808300000.0,517581500000.0,1153691300000.0,1108503400000.0,970443060000.0,694423060000.0,1324470900000.0,1089044900000.0,1027697500000.0,357113560000.0,1113351100000.0,1376412600000.0,1090839400000.0
2098.0,819105400000.0,500370050000.0,1127075500000.0,1088868000000.0,961466300000.0,666761800000.0,1307400000000.0,1071438400000.0,1006684200000.0,341370200000.0,1084421100000.0,1354055000000.0,1074893700000.0
2099.0,800934100000.0,482579870000.0,1105169700000.0,1071497350000.0,943475460000.0,629116630000.0,1272149400000.0,1051073500000.0,985481900000.0,327661030000.0,1067147400000.0,1335779700000.0,1053566200000.0
2100.0,784587100000.0,467428570000.0,1087846000000.0,1055005900000.0,921985600000.0,599223000000.0,1256005700000.0,1023787660000.0,963487330000.0,310120580000.0,1047595250000.0,1311033700000.0,1038865140000.0
