time,GFDL-ESM4,MPI-ESM1-2-HR,BCC-CSM2-MR,FGOALS-F3-L,CMCC-CM2-SR5,MRI-ESM2-0,CESM2-WACCM,CAMS-CSM1-0,EC-EARTH3-VEG,INM-CM5-0,INM-CM4-8,NORESM2-MM,EC-EARTH3,CESM2
2085.0,1582745400000.0,1591714000000.0,953663200000.0,1489499000000.0,1535735100000.0,1288412500000.0,1564455700000.0,1771818700000.0,1182418300000.0,1527828800000.0,1800969000000.0,1523901400000.0,1033493940000.0,1594174200000.0
2086.0,1562107200000.0,1572167700000.0,935887700000.0,1476248700000.0,1506847600000.0,1275169700000.0,1538858200000.0,1762857600000.0,1150593000000.0,1506898600000.0,1796552400000.0,1514626600000.0,1008794340000.0,1571364100000.0
2087.0,1537759000000.0,1552583000000.0,913621800000.0,1463503300000.0,1477219200000.0,1259820000000.0,1530511500000.0,1744209300000.0,1117218300000.0,1505040900000.0,1792042100000.0,1507103700000.0,988076200000.0,1555250400000.0
2088.0,1517179800000.0,1535012400000.0,891623100000.0,1446049600000.0,1450350600000.0,1248616800000.0,1523954200000.0,1727869400000.0,1095366540000.0,1484813900000.0,1780572500000.0,1489064200000.0,956840900000.0,1542457500000.0
2089.0,1496431200000.0,1514300900000.0,878999960000.0,1427346000000.0,1413277500000.0,1232746000000.0,1512633800000.0,1731085600000.0,1083778300000.0,1465034600000.0,1767346300000.0,1486556100000.0,934121240000.0,1523813000000.0
2090.0,1473822000000.0,1507916900000.0,860110450000.0,1410409600000.0,1383473300000.0,1222434800000.0,1502994500000.0,1723236900000.0,1070159760000.0,1457897700000.0,1751528500000.0,1470643800000.0,914819840000.0,1505571900000.0
2091.0,1456656200000.0,1498129400000.0,837511300000.0,1388499600000.0,1357921400000.0,1204350500000.0,1484118600000.0,1714865800000.0,1047786500000.0,1451044600000.0,1742180300000.0,1450550800000.0,893880760000.0,1488354300000.0
2092.0,1442430600000.0,1486655200000.0,818536200000.0,1373203900000.0,1322729600000.0,1186313100000.0,1457966300000.0,1691307200000.0,1025837400000.0,1436946500000.0,1728791700000.0,1429097200000.0,874363750000.0,1478153900000.0
2093.0,1425467900000.0,1468866900000.0,803183070000.0,1350988100000.0,1293683100000.0,1169875300000.0,1441684400000.0,1676694800000.0,1008092450000.0,1415262800000.0,1721428600000.0,1419434100000.0,857845330000.0,1468704600000.0
2094.0,1401554900000.0,1452748700000.0,780242060000.0,1331223600000.0,1266999900000.0,1163827600000.0,1429932300000.0,1670457700000.0,983510200000.0,1402489500000.0,1707986900000.0,1406298000000.0,835830200000.0,1465510100000.0
2095.0,1377730800000.0,1431173100000.0,768672330000.0,1316417000000.0,1244250500000.0,1149813700000.0,1411376200000.0,1663345500000.0,968585700000.0,1392682900000.0,1693122600000.0,1382640300000.0,806120400000.0,1438123200000.0
2096.0,1358058400000.0,1417384000000.0,747625600000.0,1303306300000.0,1219073400000.0,1132942700000.0,1401322300000.0,1654408200000.0,943479200000.0,1388915700000.0,1689183700000.0,1366812700000.0,786397600000.0,1411946500000.0
2097.0,1337947500000.0,1401376900000.0,732179600000.0,1290593500000.0,1194640400000.0,1126152100000.0,1380527100000.0,1645806400000.0,925163400000.0,1376524700000.0,1668321800000.0,1355487800000.0,767499900000.0,1396732900000.0
2098.0,1318508700000.0,1393810000000.0,713133600000.0,1278264900000.0,1173457100000.0,1117886000000.0,1361405300000.0,1632724500000.0,897484400000.0,1357863300000.0,1658027100000.0,1333738600000.0,742100760000.0,1388307400000.0
2099.0,1300822200000.0,1382231300000.0,697210900000.0,1262914600000.0,1154314800000.0,1109461800000.0,1344002900000.0,1623572300000.0,880116240000.0,1351228000000.0,1638103100000.0,1315661200000.0,717258200000.0,1369569400000.0
2100.0,1282299500000.0,1370937900000.0,679782300000.0,1256439300000.0,1138359800000.0,1099651600000.0,1336531600000.0,1625123700000.0,863859700000.0,1341197300000.0,1627463000000.0,1310666700000.0,695819760000.0,1357039900000.0
