time,EC-EARTH3,INM-CM4-8,INM-CM5-0,CAMS-CSM1-0,CESM2-WACCM,MRI-ESM2-0,EC-EARTH3-VEG,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR,CESM2,NORESM2-MM,MPI-ESM1-2-HR,GFDL-ESM4
2064.0,2135219400000.0,2572581000000.0,2550387200000.0,2596743700000.0,2634754800000.0,2464491800000.0,2538591500000.0,2401072800000.0,2694641000000.0,2316011600000.0,3187906700000.0,2891853600000.0,2816758500000.0,2744790000000.0
2065.0,2096774500000.0,2550204000000.0,2531383800000.0,2583704600000.0,2618359800000.0,2444766200000.0,2522461500000.0,2357637200000.0,2677956000000.0,2302206800000.0,3172410000000.0,2870695700000.0,2805356000000.0,2711212800000.0
2066.0,2067217600000.0,2532189400000.0,2507312000000.0,2568343800000.0,2595484900000.0,2426860500000.0,2499781000000.0,2316060000000.0,2664935700000.0,2289948400000.0,3170178700000.0,2845480000000.0,2791849900000.0,2703654400000.0
2067.0,2024448200000.0,2519321300000.0,2495412000000.0,2545115200000.0,2573394000000.0,2410298500000.0,2467937600000.0,2282110000000.0,2643803800000.0,2266889000000.0,3163933000000.0,2827286200000.0,2780941300000.0,2686143700000.0
2068.0,1992551600000.0,2503301100000.0,2484134000000.0,2511923000000.0,2555962000000.0,2388232000000.0,2443216200000.0,2247748700000.0,2608377600000.0,2240962600000.0,3146296900000.0,2809918700000.0,2764173500000.0,2671886200000.0
2069.0,1964954000000.0,2483675700000.0,2463310800000.0,2489528000000.0,2536616200000.0,2377944400000.0,2418265000000.0,2210096700000.0,2580156800000.0,2222986400000.0,3120444700000.0,2793120500000.0,2746928300000.0,2666695000000.0
2070.0,1939034300000.0,2461373800000.0,2441911700000.0,2456477500000.0,2532683000000.0,2360331700000.0,2385085500000.0,2163876800000.0,2557538500000.0,2203133400000.0,3119491000000.0,2767643000000.0,2736399300000.0,2656038600000.0
2071.0,1920776000000.0,2446208000000.0,2433567000000.0,2422158700000.0,2518455700000.0,2346400000000.0,2357217500000.0,2120001300000.0,2537136600000.0,2181163300000.0,3109502800000.0,2750662300000.0,2721025000000.0,2645382400000.0
2072.0,1893366600000.0,2433918000000.0,2415963700000.0,2390600700000.0,2495504700000.0,2326500500000.0,2323331200000.0,2079325600000.0,2515894500000.0,2159687200000.0,3099862000000.0,2743206700000.0,2706597000000.0,2628529200000.0
2073.0,1864219900000.0,2415476600000.0,2400636400000.0,2359731700000.0,2477542000000.0,2315132000000.0,2305896200000.0,2043903200000.0,2494510700000.0,2135766500000.0,3085253700000.0,2728339000000.0,2699310000000.0,2621522600000.0
2074.0,1833855400000.0,2404710600000.0,2382720100000.0,2330621400000.0,2463059100000.0,2301042000000.0,2281638200000.0,2005588100000.0,2473774500000.0,2110744400000.0,3085944500000.0,2708852400000.0,2684045200000.0,2609754400000.0
2075.0,1808667400000.0,2392444000000.0,2364271500000.0,2305014000000.0,2446039400000.0,2290154200000.0,2248827700000.0,1968127700000.0,2437616200000.0,2090646900000.0,3078953400000.0,2698414400000.0,2669998200000.0,2597112300000.0
2076.0,1785920400000.0,2375355000000.0,2340069600000.0,2277884800000.0,2431270500000.0,2277618000000.0,2213937700000.0,1933586000000.0,2418978600000.0,2063282100000.0,3081042000000.0,2686499700000.0,2647995400000.0,2582743000000.0
2077.0,1767464200000.0,2355818000000.0,2325320000000.0,2248810700000.0,2427578200000.0,2260560000000.0,2177563200000.0,1903882700000.0,2393855500000.0,2048001300000.0,3075938500000.0,2667478500000.0,2631401500000.0,2574497300000.0
2078.0,1743559900000.0,2336427300000.0,2314995500000.0,2225676500000.0,2416680400000.0,2239190000000.0,2148066900000.0,1868481600000.0,2367550400000.0,2031566500000.0,3074323400000.0,2666200000000.0,2610283400000.0,2564087000000.0
2079.0,1720812800000.0,2313415000000.0,2289744700000.0,2190521500000.0,2412180400000.0,2225061200000.0,2120965000000.0,1833532400000.0,2351097400000.0,2007558300000.0,3059831500000.0,2643899200000.0,2591033700000.0,2555100000000.0
2080.0,1692015000000.0,2298448200000.0,2269917000000.0,2154908100000.0,2401474000000.0,2218692200000.0,2088886200000.0,1795982100000.0,2343981300000.0,1989622900000.0,3057910000000.0,2635513000000.0,2580392400000.0,2541116200000.0
2081.0,1668912800000.0,2282513200000.0,2257404800000.0,2114912800000.0,2394075400000.0,2203806900000.0,2054003900000.0,1763147900000.0,2326640700000.0,1972065400000.0,3042497500000.0,2617243600000.0,2569048000000.0,2529728000000.0
2082.0,1644339100000.0,2267970300000.0,2240088400000.0,2094409700000.0,2387670200000.0,2183221700000.0,2025236600000.0,1724550000000.0,2302098000000.0,1957820200000.0,3039483700000.0,2606975700000.0,2554086300000.0,2514251000000.0
2083.0,1618252500000.0,2252510300000.0,2218201400000.0,2070466900000.0,2376157600000.0,2175720800000.0,1998273400000.0,1689916100000.0,2277963700000.0,1936132700000.0,3030375200000.0,2601945000000.0,2540713000000.0,2501480500000.0
