time,GFDL-ESM4,MPI-ESM1-2-HR,NORESM2-MM,CANESM5,BCC-CSM2-MR,IPSL-CM6A-LR,FGOALS-F3-L,ACCESS-CM2,CESM2,EC-EARTH3-VEG,MRI-ESM2-0,ACCESS-ESM1-5,EC-EARTH3,CESM2-WACCM,CAMS-CSM1-0,INM-CM5-0,INM-CM4-8
2081.0,2785135600000.0,2602721600000.0,2786066400000.0,1110947300000.0,2282199400000.0,2576428600000.0,2412209800000.0,2032178300000.0,2843462900000.0,2214524600000.0,2316263500000.0,3159101800000.0,1747434700000.0,2717563500000.0,2155042700000.0,2170678800000.0,2570681000000.0
2082.0,2775475300000.0,2591759300000.0,2778797400000.0,1087562500000.0,2264079300000.0,2559371400000.0,2394032400000.0,2020818400000.0,2838873500000.0,2193528700000.0,2315808000000.0,3150516800000.0,1730525100000.0,2730916300000.0,2141952500000.0,2156837600000.0,2550135000000.0
2083.0,2769303400000.0,2577048000000.0,2776462500000.0,1053827000000.0,2248717000000.0,2544158600000.0,2382379400000.0,1999753700000.0,2837495000000.0,2165536700000.0,2309094600000.0,3134693600000.0,1709876200000.0,2729746400000.0,2130480500000.0,2140731200000.0,2541237600000.0
2084.0,2768386000000.0,2565695900000.0,2764758300000.0,1026411860000.0,2241859700000.0,2529793400000.0,2373823500000.0,1983316100000.0,2840750500000.0,2143138500000.0,2309479000000.0,3130833800000.0,1688320300000.0,2728654300000.0,2118951600000.0,2128056200000.0,2530155400000.0
2085.0,2763571600000.0,2558379000000.0,2768665600000.0,996866900000.0,2226094900000.0,2511698000000.0,2361163500000.0,1961479600000.0,2843656800000.0,2119737500000.0,2311199000000.0,3134342600000.0,1676765300000.0,2728619000000.0,2106148700000.0,2112693500000.0,2514293600000.0
2086.0,2758322400000.0,2546220000000.0,2763331500000.0,972412900000.0,2217006600000.0,2498203500000.0,2343983400000.0,1939807700000.0,2851138200000.0,2091678600000.0,2320565800000.0,3128599800000.0,1665740200000.0,2730316500000.0,2093721600000.0,2098769600000.0,2489830300000.0
2087.0,2758907800000.0,2532209900000.0,2759919000000.0,945829200000.0,2204667200000.0,2492523300000.0,2328485400000.0,1921486000000.0,2848342100000.0,2069698000000.0,2321588700000.0,3130179200000.0,1658599600000.0,2732262000000.0,2076539400000.0,2081573200000.0,2472924000000.0
2088.0,2757477800000.0,2523016500000.0,2760856800000.0,923483770000.0,2190988800000.0,2484754400000.0,2311971000000.0,1891316800000.0,2847787700000.0,2043513500000.0,2310885300000.0,3120627200000.0,1647207000000.0,2734308000000.0,2066578900000.0,2075944700000.0,2456670700000.0
2089.0,2754383200000.0,2521328500000.0,2770878900000.0,897969900000.0,2178364100000.0,2468763400000.0,2299521700000.0,1880901400000.0,2851979700000.0,2019134400000.0,2309953200000.0,3115471600000.0,1632111800000.0,2743893800000.0,2056707900000.0,2065653200000.0,2438253800000.0
2090.0,2745239000000.0,2508303400000.0,2770233700000.0,873289350000.0,2168434500000.0,2455723600000.0,2283882400000.0,1862732600000.0,2861341300000.0,2001271800000.0,2302879200000.0,3110130700000.0,1619689200000.0,2744465000000.0,2039587400000.0,2057041300000.0,2421727000000.0
