time,NORESM2-MM,IPSL-CM6A-LR,CAMS-CSM1-0,CESM2-WACCM,TAIESM1,ACCESS-ESM1-5,EC-EARTH3,ACCESS-CM2,EC-EARTH3-VEG,INM-CM5-0,INM-CM4-8,BCC-CSM2-MR,FGOALS-F3-L,CANESM5,MRI-ESM2-0,CESM2,GFDL-ESM4,CMCC-CM2-SR5,MPI-ESM1-2-HR
2053.0,18639608000.0,16688584000.0,56904897000.0,25300296000.0,16326790000.0,11610853000.0,10848479000.0,21578455000.0,30710870000.0,14014088000.0,21283582000.0,15106003000.0,25133554000.0,21773724000.0,15059715000.0,18364460000.0,43776573000.0,18357370000.0,34579200000.0
2054.0,17346916000.0,15305647000.0,56045527000.0,23012151000.0,15636917000.0,10905433000.0,10122547000.0,19542245000.0,28716165000.0,13309719000.0,19535516000.0,14130783000.0,23374817000.0,20282110000.0,14378308000.0,17638620000.0,41384145000.0,17463933000.0,31051377000.0
2055.0,15491719000.0,14469726000.0,52092080000.0,22250973000.0,15092541000.0,10836091000.0,10013484000.0,17743410000.0,26617150000.0,12619049000.0,18018499000.0,13061580000.0,23372403000.0,18832572000.0,13302617000.0,16192426000.0,39196490000.0,16461046000.0,28441910000.0
2056.0,14632841000.0,13545158000.0,51936200000.0,20200421000.0,13558084000.0,9715570000.0,8770805000.0,15776061000.0,24218192000.0,11230950000.0,17103663000.0,11658088000.0,21851542000.0,18219706000.0,12826588000.0,14427534000.0,37097810000.0,14848671000.0,27897129000.0
2057.0,14038483000.0,11924783000.0,50101957000.0,19137997000.0,11434730000.0,9688722000.0,8419474000.0,14722990000.0,22704000000.0,10172372000.0,15449797000.0,10744204000.0,21054497000.0,16862848000.0,12552998000.0,13499161000.0,35665470000.0,13581085000.0,26790435000.0
2058.0,13470127000.0,10628378000.0,46584807000.0,17971608000.0,10641414000.0,8926448000.0,8006462000.0,12805298000.0,21008050000.0,9347066000.0,14713314000.0,9262136000.0,20583588000.0,16070202000.0,12698202000.0,12831582000.0,33187523000.0,11314729000.0,25354572000.0
2059.0,12473722000.0,9458882000.0,45854500000.0,16888025000.0,9466612000.0,7864484000.0,8190776000.0,11340171000.0,19229252000.0,8236144600.0,14777164000.0,8682170000.0,19711367000.0,14178218000.0,11794305000.0,12147290000.0,31917464000.0,10388410000.0,23877876000.0
2060.0,10933861000.0,8666774000.0,43726037000.0,16590877000.0,8857290000.0,6568069000.0,7905400300.0,10680856000.0,18828888000.0,8050409500.0,14321306000.0,7922375000.0,17670793000.0,13003974000.0,11780443000.0,11812240000.0,29747579000.0,9834660000.0,23527797000.0
2061.0,9777170000.0,7820618000.0,40482595000.0,15023162000.0,8263289300.0,5931889700.0,7406393000.0,9609306000.0,17277962000.0,6939023000.0,13138600000.0,7332673000.0,16772707000.0,12257027000.0,11332513000.0,10586470000.0,29917400000.0,8991239000.0,22941585000.0
2062.0,9123849000.0,6981726700.0,38178460000.0,13437431000.0,7695058000.0,5639026700.0,6723528700.0,8809407000.0,14950339000.0,6209093000.0,12122729000.0,7071680000.0,15277932000.0,11160724000.0,10810571000.0,10217426000.0,29263090000.0,8198992000.0,22082193000.0
2063.0,8755041000.0,6320811000.0,37600920000.0,12663617000.0,6866082300.0,5349406700.0,6321935000.0,7884676000.0,14023348000.0,5841840600.0,10926256000.0,6603121000.0,13776466000.0,10082999000.0,10479653000.0,9341389000.0,27122110000.0,7511206000.0,20342956000.0
2064.0,8354205700.0,5671313400.0,36616385000.0,11907867000.0,6367584000.0,5219252700.0,5943208000.0,6968552400.0,12765420000.0,5737780000.0,9723000000.0,5821070000.0,12556612000.0,9330425000.0,10080483000.0,8734522000.0,26241397000.0,6818972000.0,19074420000.0
2065.0,7628601000.0,5239949000.0,35559743000.0,10587237000.0,5641661000.0,4727420000.0,5748445700.0,6217465000.0,11714806000.0,5528091000.0,9253560000.0,5216630300.0,11489235000.0,8489585700.0,9471862000.0,8716188000.0,24810030000.0,6600462000.0,17738883000.0
2066.0,7177919500.0,4578560500.0,33586774000.0,9976246000.0,5049898500.0,4210565000.0,5199999000.0,6015476000.0,10651077000.0,5263070000.0,8420924400.0,4698236000.0,10259921000.0,7995400000.0,8831631000.0,8386292700.0,22804042000.0,6103561000.0,16119881000.0
2067.0,6869039600.0,4122967800.0,31940958000.0,9368342000.0,4425698300.0,4168933000.0,5062188500.0,5908606500.0,9995205000.0,4871194000.0,7448188000.0,4253065200.0,9922648000.0,7310228500.0,8476804000.0,7758359000.0,21501542000.0,5347552000.0,14819835000.0
2068.0,6700179000.0,3994936600.0,31014340000.0,8821629000.0,4055508500.0,3842623200.0,5007391000.0,5728528400.0,9294829000.0,4317064000.0,7021690400.0,4083156500.0,8387334000.0,6816299500.0,7824907300.0,7562253000.0,19561961000.0,5236169000.0,13888749000.0
2069.0,6419592000.0,3475368700.0,30271996000.0,8174255600.0,3631919900.0,3708546800.0,4712927000.0,5616880000.0,8576907000.0,3929469400.0,6869048000.0,3668170000.0,7749171700.0,6110018600.0,7200782300.0,6798560000.0,18427427000.0,4969158700.0,13380909000.0
2070.0,5982244000.0,3078316000.0,28514552000.0,7578837500.0,3261561900.0,3817499400.0,4315165700.0,4858467300.0,8136632300.0,3577357600.0,6320805000.0,3274694400.0,7452509700.0,5371906000.0,6924756500.0,6089468400.0,17015469000.0,4535218000.0,13024188000.0
2071.0,5803805000.0,3005733000.0,27687027000.0,6959362600.0,2931654400.0,3590739700.0,4297691600.0,4529875500.0,7476644400.0,3466934800.0,5850775600.0,3250202000.0,7209583000.0,5129000400.0,6746748400.0,5648718300.0,15641861000.0,4366905000.0,12210023000.0
2072.0,5380043300.0,2752135700.0,26390378000.0,5975911000.0,2732785000.0,3433275100.0,3954354000.0,4108003300.0,7081896400.0,3239980300.0,5344938500.0,3144086000.0,7156068000.0,4463347700.0,6536071700.0,5116948000.0,14804958000.0,3659778800.0,11841181000.0
2073.0,4757744000.0,2431707400.0,25665260000.0,5491501000.0,2452593700.0,3076193800.0,3754133800.0,3650072800.0,6675262000.0,3172970800.0,4696549000.0,2881845500.0,6118309000.0,3901835500.0,6455318000.0,4857489400.0,14126027000.0,3536316200.0,11136903000.0
2074.0,4491489300.0,2103529100.0,25001497000.0,4916635600.0,2352491500.0,2984736500.0,3474691800.0,3460565800.0,5720852000.0,3051053800.0,4309238000.0,2686663400.0,5787693000.0,3506132200.0,6119309000.0,4341508600.0,12954369000.0,3409751800.0,10436275000.0
2075.0,4086842600.0,1911448700.0,24776909000.0,4389564000.0,2120337700.0,2695903200.0,3383087000.0,3109882400.0,5210730500.0,2832497000.0,3803014000.0,2505917000.0,5200979000.0,3320957700.0,5840168000.0,3978653400.0,12336370000.0,3150889500.0,9319632000.0
2076.0,3653349400.0,1829232000.0,23888255000.0,3790551800.0,2041600600.0,2365295900.0,3281708300.0,2928097500.0,5278463500.0,2841842000.0,3618953700.0,2445138200.0,4834093600.0,2820015900.0,5381190700.0,3681356300.0,11704927000.0,2758434000.0,8678306000.0
2077.0,3615549000.0,1727248000.0,22941125000.0,3383023600.0,1807566700.0,2216472000.0,3007354000.0,2843342800.0,4924703000.0,2825931800.0,3261403000.0,2330157000.0,4699502600.0,2560726300.0,5248085500.0,3327799600.0,10955280000.0,2334143500.0,8466504000.0
2078.0,3056104200.0,1507635700.0,21756387000.0,3230497800.0,1548162300.0,2084699400.0,2569763600.0,2714517200.0,4861533000.0,2714336300.0,3157163800.0,2211790000.0,4419937000.0,2273122300.0,5019033600.0,3024845600.0,10300074000.0,2031263400.0,8270853600.0
2079.0,2640940800.0,1465823200.0,20883638000.0,2912647000.0,1400570600.0,2045383700.0,2306521600.0,2492080400.0,4160290000.0,2712901400.0,3092856300.0,2129508100.0,4080821000.0,2107132700.0,4858936000.0,2712962300.0,9882037000.0,1881239800.0,8460289500.0
2080.0,2371010000.0,1291674200.0,21170491000.0,2678646800.0,1227471700.0,1884263600.0,2100947500.0,2337928200.0,4006880800.0,2454191600.0,2697719800.0,1871738400.0,3560927500.0,1999750400.0,4765832700.0,2575133700.0,9555039000.0,1783508700.0,7911021600.0
2081.0,2136304500.0,1191721500.0,19739996000.0,2174502000.0,1042373800.0,1747908600.0,1697221200.0,2165216000.0,3738393900.0,2297732900.0,2645891800.0,1634035800.0,3425857000.0,1874060400.0,4414479400.0,2439831800.0,9236386000.0,1830782500.0,7987686000.0
