time,GISS-E2-R,GFDL-CM3,GFDL-ESM2G,CCSM4,MPI-ESM-LR,CANESM2,IPSL-CM5A-LR,NORESM1-M,CSIRO-MK3-6-0,CNRM-CM5,CESM1-CAM5
2087.0,118434429429000.0,99960363003700.0,122365819030000.0,111795092150000.0,110179062621000.0,98798828639400.0,99709707143000.0,102360988087000.0,106600749573300.0,104063083291000.0,78474873628000.0
2088.0,117945341346000.0,99281022696400.0,122026454148000.0,111300625195000.0,109708597988000.0,97917715726000.0,99055939469000.0,101777483435000.0,105950619089000.0,103294508392000.0,77311801612000.0
2089.0,117559961494000.0,98522951827900.0,121774424165000.0,110533796163000.0,109077862797000.0,96971572702600.0,98405836945000.0,101137521192000.0,105278825900500.0,102620681330000.0,76247504727000.0
2090.0,117185827677000.0,97890718483000.0,121317294544000.0,109891363699000.0,108528082923000.0,96208803863600.0,97704764143000.0,100362823825000.0,104624119725600.0,101899981907000.0,75078217942000.0
2091.0,116878514556000.0,97300506370800.0,120800996235000.0,109121713550000.0,108047984397000.0,95620333366000.0,97052328650000.0,99575809591000.0,103857909316400.0,101083232480000.0,73993282640000.0
2092.0,116515604017000.0,96789454271100.0,120358148011000.0,108558808838000.0,107410863910000.0,94947020495000.0,96331309805700.0,98806457604600.0,103155387702600.0,100325250473000.0,72941877937000.0
2093.0,116231752209000.0,96067559693100.0,120074156011000.0,107904816379000.0,106795279589000.0,94465649885000.0,95729960750400.0,98083084203700.0,102423462444300.0,99781474481000.0,72033576175000.0
2094.0,115824046377000.0,95307817673600.0,119715426296000.0,107255735926000.0,106303809635000.0,93703161999000.0,95021079652000.0,97387536095000.0,101738180223400.0,99078811202000.0,71035088589000.0
2095.0,115489436297000.0,94640495868700.0,119184400250000.0,106673395995000.0,105684261085000.0,92920189638000.0,94498169356700.0,96659629659000.0,101091161530500.0,98307941633000.0,70199949859000.0
2096.0,114814271938000.0,94026470475900.0,118847384539000.0,106193566610000.0,105007094071000.0,92162658009000.0,94044932854000.0,95985290930500.0,100563031020900.0,97468191177000.0,69362227740000.0
2097.0,114325279420000.0,93395622838500.0,118647599066000.0,105662531760000.0,104516794293000.0,91528663027000.0,93476910949500.0,95326542157000.0,100180612832600.0,96583563743000.0,68451130125700.0
2098.0,113761475319000.0,92671693083800.0,118241759727000.0,104973194425000.0,104102261559000.0,90870497529400.0,92857847981400.0,94603172984000.0,99675570417800.0,95854727413000.0,67518036647500.0
2099.0,113294348134000.0,92034071765300.0,118114691767000.0,104210532366000.0,103635797037000.0,90064069639500.0,92329206550000.0,93688668670600.0,98922121623300.0,95038658013000.0,66445131736000.0
2100.0,113013189174000.0,91340393367900.0,117761116319000.0,103752186639000.0,103247488243000.0,89202119815000.0,91755461836100.0,93197580494000.0,98292617182800.0,94369119471000.0,65461646943600.0
