time,CANESM5,MRI-ESM2-0,ACCESS-ESM1-5,ACCESS-CM2,CESM2-WACCM,IPSL-CM6A-LR
2209.0,595406400000.0,4057725400000.0,2090996600000.0,882662600000.0,771208700000.0,701975600000.0
2210.0,589545400000.0,4067915000000.0,2080271900000.0,869848500000.0,765770700000.0,697637300000.0
2211.0,581469100000.0,4074798300000.0,2068692700000.0,856610500000.0,759032700000.0,693826700000.0
2212.0,573727050000.0,4086395800000.0,2049635900000.0,847923250000.0,750733600000.0,689688900000.0
2213.0,564002400000.0,4098332000000.0,2039848900000.0,836273770000.0,744342160000.0,685306100000.0
2214.0,552698100000.0,4104778400000.0,2026174200000.0,821779370000.0,735950100000.0,680761200000.0
2215.0,549043100000.0,4112143400000.0,2016454000000.0,812676200000.0,728351700000.0,676616000000.0
2216.0,541771660000.0,4125200200000.0,2007134400000.0,802684500000.0,723284100000.0,671562470000.0
2217.0,532414100000.0,4129585000000.0,1993711800000.0,791100400000.0,720614460000.0,669205800000.0
2218.0,525955830000.0,4131658100000.0,1980119900000.0,780417560000.0,714089760000.0,665480700000.0
2219.0,518580960000.0,4145213000000.0,1967779200000.0,771749200000.0,705137600000.0,662411150000.0
2220.0,511174970000.0,4155079000000.0,1957602400000.0,765601840000.0,698224150000.0,658904700000.0
2221.0,505257460000.0,4154726300000.0,1949334900000.0,762610100000.0,692558560000.0,653785760000.0
2222.0,501153100000.0,4165779300000.0,1937643800000.0,754515300000.0,687123660000.0,651363550000.0
2223.0,497149480000.0,4165514300000.0,1925999400000.0,746988900000.0,684263870000.0,649383000000.0
2224.0,492470300000.0,4165650000000.0,1916969800000.0,740347000000.0,674163060000.0,648287000000.0
2225.0,484606080000.0,4166141300000.0,1906696900000.0,732523500000.0,668559000000.0,646455100000.0
2226.0,477667950000.0,4173934000000.0,1888421700000.0,722374500000.0,663803700000.0,641923200000.0
2227.0,474973400000.0,4180106000000.0,1871664500000.0,711361560000.0,660908900000.0,638816000000.0
2228.0,471427900000.0,4182002000000.0,1859675600000.0,703240540000.0,654274460000.0,637189400000.0
2229.0,467260150000.0,4190046000000.0,1850636100000.0,696519900000.0,646912800000.0,633328600000.0
2230.0,462104300000.0,4197855500000.0,1836640800000.0,689977300000.0,639889700000.0,628214860000.0
2231.0,457213580000.0,4203700800000.0,1826966900000.0,682103400000.0,635361560000.0,627338500000.0
2232.0,450697560000.0,4219071000000.0,1826186600000.0,674052830000.0,629556250000.0,622334300000.0
2233.0,444477570000.0,4236194600000.0,1819338100000.0,663349600000.0,623250200000.0,620264360000.0
2234.0,442765000000.0,4252257700000.0,1804468000000.0,654795500000.0,617724700000.0,619919500000.0
2235.0,439856040000.0,4264251000000.0,1787398200000.0,644742100000.0,610250500000.0,617206200000.0
2236.0,437494150000.0,4284887600000.0,1778481600000.0,638109900000.0,607963840000.0,616509700000.0
2237.0,438621570000.0,4303664700000.0,1767609700000.0,631797200000.0,602223900000.0,612519100000.0
2238.0,433994920000.0,4324305000000.0,1753552400000.0,623280260000.0,598714200000.0,612673700000.0
2239.0,432643200000.0,4357492000000.0,1741430200000.0,614811760000.0,596399200000.0,613943500000.0
2240.0,428201770000.0,4384409000000.0,1735142700000.0,607916100000.0,590887900000.0,610153140000.0
2241.0,426926900000.0,4404770000000.0,1724158200000.0,601620300000.0,585388700000.0,611121100000.0
