time,MPI-ESM-LR,CESM1-CAM5,GFDL-ESM2G,CANESM2,NORESM1-M,CCSM4,CSIRO-MK3-6-0,CNRM-CM5,GFDL-CM3,IPSL-CM5A-LR,GISS-E2-R
2085.0,2167894400000.0,1530204100000.0,2585669000000.0,1579583000000.0,1697364700000.0,1910325900000.0,1635046900000.0,1804466300000.0,510949820000.0,1757917700000.0,2169751900000.0
2086.0,2168384300000.0,1512286000000.0,2582852000000.0,1570526700000.0,1687445000000.0,1913959700000.0,1613907600000.0,1790420200000.0,503522750000.0,1749807500000.0,2163681500000.0
2087.0,2179929900000.0,1509743700000.0,2586577700000.0,1546498500000.0,1673907300000.0,1912594000000.0,1605876000000.0,1782547300000.0,494508400000.0,1738196000000.0,2156676400000.0
2088.0,2192831000000.0,1506666300000.0,2582243400000.0,1532143200000.0,1652277800000.0,1913797200000.0,1603580300000.0,1776939200000.0,483610950000.0,1736510000000.0,2160270000000.0
2089.0,2219557300000.0,1497833800000.0,2572488800000.0,1531713200000.0,1640647000000.0,1923929200000.0,1594608000000.0,1765874000000.0,477106000000.0,1741470600000.0,2162122300000.0
2090.0,2210715400000.0,1496360200000.0,2559751500000.0,1517298000000.0,1628737600000.0,1914103500000.0,1585605500000.0,1755874900000.0,471347700000.0,1733653200000.0,2165375400000.0
2091.0,2198806900000.0,1501504100000.0,2553664500000.0,1520850600000.0,1609225100000.0,1895906000000.0,1567995600000.0,1745090900000.0,459804200000.0,1721588500000.0,2161008300000.0
2092.0,2200939500000.0,1511711700000.0,2573267600000.0,1508551200000.0,1599487900000.0,1888194500000.0,1556602700000.0,1745787800000.0,453769630000.0,1718467300000.0,2168878900000.0
2093.0,2225603600000.0,1494759900000.0,2584075300000.0,1509444300000.0,1589234900000.0,1885518700000.0,1546378400000.0,1738215700000.0,449835830000.0,1706756500000.0,2166514800000.0
2094.0,2214334600000.0,1478600800000.0,2578245000000.0,1507098400000.0,1572501600000.0,1877571300000.0,1536724600000.0,1736348100000.0,444469120000.0,1703104000000.0,2170173000000.0
2095.0,2208996000000.0,1485170900000.0,2579948000000.0,1504685600000.0,1568369800000.0,1876970200000.0,1525321300000.0,1731432400000.0,438372900000.0,1697415000000.0,2178916500000.0
2096.0,2212823000000.0,1481782100000.0,2582850300000.0,1534147600000.0,1558892600000.0,1870251400000.0,1523596900000.0,1725812300000.0,431298940000.0,1697989700000.0,2186280400000.0
2097.0,2223355500000.0,1470083000000.0,2603825000000.0,1530613900000.0,1552686000000.0,1870181600000.0,1510622400000.0,1719554700000.0,423734050000.0,1680515100000.0,2180855400000.0
2098.0,2224604800000.0,1461139900000.0,2609320000000.0,1537479800000.0,1545932600000.0,1872835000000.0,1512367300000.0,1716879000000.0,417423620000.0,1690527000000.0,2179639500000.0
2099.0,2240350000000.0,1457009100000.0,2620427000000.0,1526223700000.0,1535212400000.0,1869404700000.0,1503073900000.0,1721641000000.0,409587550000.0,1686966800000.0,2183065000000.0
2100.0,2235804000000.0,1440895900000.0,2608767000000.0,1528813700000.0,1536116900000.0,1860062200000.0,1499705600000.0,1725820300000.0,402871420000.0,1687768800000.0,2188370500000.0
