time,CANESM5,MRI-ESM2-0,ACCESS-ESM1-5,IPSL-CM6A-LR,ACCESS-CM2,CESM2-WACCM
2148.0,2351503000000.0,2872743300000.0,2860988500000.0,2618035300000.0,1928585400000.0,1889102500000.0
2149.0,2355303800000.0,2868691900000.0,2856104500000.0,2602591600000.0,1919793900000.0,1888538100000.0
2150.0,2359098000000.0,2845701000000.0,2867154600000.0,2605779300000.0,1917543100000.0,1886594000000.0
2151.0,2356187000000.0,2850891200000.0,2861537000000.0,2605207800000.0,1906050100000.0,1872658000000.0
2152.0,2351224300000.0,2843015400000.0,2866513000000.0,2610345300000.0,1905386700000.0,1869181700000.0
2153.0,2353339000000.0,2836584500000.0,2860903000000.0,2603867000000.0,1906580800000.0,1862599300000.0
2154.0,2361772500000.0,2834171000000.0,2870648500000.0,2598216000000.0,1895812800000.0,1836001700000.0
2155.0,2355403700000.0,2838719000000.0,2862065600000.0,2602524700000.0,1895779400000.0,1833364100000.0
2156.0,2354065000000.0,2839929400000.0,2856275400000.0,2609960500000.0,1883134600000.0,1831915500000.0
2157.0,2361228000000.0,2845767600000.0,2852163400000.0,2607823000000.0,1881510400000.0,1816141800000.0
2158.0,2348265000000.0,2841623100000.0,2846104000000.0,2603242700000.0,1874526200000.0,1818234700000.0
2159.0,2336396400000.0,2838502300000.0,2849594700000.0,2596173000000.0,1876809100000.0,1815069700000.0
2160.0,2331356400000.0,2845815900000.0,2841034000000.0,2586499000000.0,1873977500000.0,1806534300000.0
2161.0,2332238800000.0,2820975000000.0,2826340100000.0,2594373400000.0,1863627300000.0,1788480300000.0
2162.0,2345040600000.0,2818809000000.0,2823648400000.0,2592216400000.0,1851867900000.0,1788349500000.0
2163.0,2350287400000.0,2815988900000.0,2794194700000.0,2585616000000.0,1848575300000.0,1785083700000.0
2164.0,2353394000000.0,2805829000000.0,2786965800000.0,2583649800000.0,1843386100000.0,1770401600000.0
2165.0,2349376700000.0,2812280800000.0,2785087800000.0,2584604800000.0,1840345900000.0,1762384300000.0
2166.0,2347835000000.0,2789380200000.0,2789639000000.0,2579599700000.0,1838838000000.0,1761890900000.0
2167.0,2342742000000.0,2784299800000.0,2792588300000.0,2590316700000.0,1841389000000.0,1764221600000.0
2168.0,2333943500000.0,2778853300000.0,2783215000000.0,2579627500000.0,1840157600000.0,1771507300000.0
2169.0,2342382500000.0,2772927500000.0,2776111300000.0,2561335400000.0,1835214800000.0,1774523900000.0
2170.0,2342651200000.0,2751766700000.0,2790284900000.0,2557950600000.0,1836369400000.0,1773370700000.0
