time,IPSL-CM6A-LR,CANESM5,CESM2-WACCM,MRI-ESM2-0
2286.0,3504536300000.0,874307600000.0,7413541400000.0,6928296600000.0
2287.0,3493716300000.0,868359900000.0,7395299000000.0,6936728000000.0
2288.0,3485600300000.0,860814900000.0,7378880700000.0,6932371300000.0
2289.0,3477739100000.0,851463700000.0,7346683600000.0,6936833000000.0
2290.0,3466757000000.0,840850400000.0,7319513000000.0,6942273600000.0
2291.0,3458100000000.0,831494000000.0,7291859400000.0,6942981000000.0
2292.0,3450324400000.0,824673760000.0,7269087000000.0,6950496000000.0
2293.0,3443943800000.0,816637540000.0,7259314000000.0,6941506500000.0
2294.0,3443811700000.0,808844600000.0,7240338000000.0,6942951500000.0
2295.0,3441994200000.0,801042900000.0,7233151000000.0,6941947000000.0
2296.0,3439260000000.0,792332100000.0,7232182300000.0,6937065000000.0
2297.0,3437592300000.0,785032740000.0,7220236000000.0,6924267400000.0
2298.0,3433412400000.0,779825450000.0,7191217600000.0,6917412400000.0
2299.0,3429729300000.0,773684850000.0,7154262600000.0,6916880700000.0
2300.0,3421449500000.0,766439200000.0,7129375000000.0,6917593000000.0
