time,INM-CM4-8,INM-CM5-0,EC-EARTH3,EC-EARTH3-VEG,CAMS-CSM1-0,CESM2-WACCM,CMCC-CM2-SR5,NORESM2-MM,MPI-ESM1-2-HR,GFDL-ESM4,MRI-ESM2-0,CESM2,BCC-CSM2-MR,FGOALS-F3-L
2090.0,3114005400000.0,3203964000000.0,2692807700000.0,2643447300000.0,3141975700000.0,2246482000000.0,3112759700000.0,2952205000000.0,3178027000000.0,3174817900000.0,2999630700000.0,2344920000000.0,2679989300000.0,2559481000000.0
2091.0,3104611200000.0,3185283200000.0,2672159400000.0,2627892000000.0,3125172800000.0,2229160000000.0,3073795200000.0,2939723400000.0,3162593000000.0,3148228900000.0,2978979000000.0,2328465500000.0,2673467500000.0,2535985500000.0
2092.0,3089734000000.0,3175966800000.0,2631177900000.0,2598573200000.0,3115660000000.0,2194814100000.0,3038666300000.0,2921755800000.0,3145337700000.0,3127179200000.0,2949187600000.0,2301654000000.0,2664967700000.0,2504161000000.0
2093.0,3079248300000.0,3164170600000.0,2602362500000.0,2582221400000.0,3102712800000.0,2161700100000.0,3013431000000.0,2904424400000.0,3130146700000.0,3113412200000.0,2924828400000.0,2277687700000.0,2648171600000.0,2478011600000.0
2094.0,3068238500000.0,3148747600000.0,2570583300000.0,2557560000000.0,3087359300000.0,2131680800000.0,2992617300000.0,2895819800000.0,3123308400000.0,3081918700000.0,2895249100000.0,2253607100000.0,2616642200000.0,2464880300000.0
2095.0,3043597700000.0,3135577000000.0,2546665300000.0,2534496300000.0,3082224000000.0,2112698800000.0,2977700200000.0,2891267400000.0,3108359400000.0,3067915800000.0,2874872200000.0,2206827800000.0,2596669500000.0,2424680500000.0
2096.0,3027395400000.0,3125614500000.0,2516472600000.0,2510762000000.0,3066671100000.0,2072695500000.0,2961189600000.0,2865163400000.0,3088465800000.0,3059211600000.0,2872607500000.0,2177562400000.0,2578936000000.0,2403004300000.0
2097.0,3016079400000.0,3112391400000.0,2489262500000.0,2488945000000.0,3048945500000.0,2039443400000.0,2939408000000.0,2838431800000.0,3089381200000.0,3056007000000.0,2851321200000.0,2136119300000.0,2561462800000.0,2380960600000.0
2098.0,3017603000000.0,3105621000000.0,2477245300000.0,2458864600000.0,3033888200000.0,2019419000000.0,2920694000000.0,2833425600000.0,3065079000000.0,3035973300000.0,2838823200000.0,2100262600000.0,2538482000000.0,2358244500000.0
2099.0,3002720600000.0,3101962000000.0,2454715400000.0,2443073800000.0,3017262000000.0,1996246100000.0,2900926400000.0,2821062000000.0,3046378800000.0,3008268000000.0,2819869600000.0,2087564900000.0,2529778500000.0,2338917200000.0
2100.0,2984099400000.0,3088810800000.0,2429770800000.0,2417148800000.0,2990185600000.0,1957591800000.0,2888464600000.0,2762294700000.0,3024009300000.0,2985729200000.0,2798729800000.0,2071521800000.0,2514369400000.0,2316591200000.0
