time,CANESM2,MPI-ESM-LR,CESM1-CAM5
2287.0,1721956200000.0,3235447800000.0,1249008300000.0
2288.0,1724788200000.0,3252577000000.0,1252312400000.0
2289.0,1704288500000.0,3254899700000.0,1247642300000.0
2290.0,1688724000000.0,3255119600000.0,1248937400000.0
2291.0,1672574500000.0,3245255000000.0,1256601700000.0
2292.0,1664217000000.0,3235365000000.0,1268727400000.0
2293.0,1651758200000.0,3246611800000.0,1281617200000.0
2294.0,1656866700000.0,3244494000000.0,1283256000000.0
2295.0,1645576300000.0,3248448600000.0,1297125000000.0
2296.0,1630696500000.0,3253804000000.0,1299698400000.0
2297.0,1609258100000.0,3283845600000.0,1304491300000.0
2298.0,1596148500000.0,3280371200000.0,1295008800000.0
2299.0,1600410000000.0,3272815100000.0,1292250100000.0
2300.0,1594341300000.0,3293925000000.0,1294432500000.0
